,address,lat,lng,parsedAddress,parsedlat,parsedlng,level,coord_diff,correct
151,紅磡黃埔花園第9期地下1至3號,22.3027647,114.1905199,"[['?', '紅磡'], ('EstateName1', '黃埔花園'), ['?', '第9期']]",22.3044,114.192,building,0.002205652307138544,N
152,紅磡香港理工大學邵逸夫樓VA210室,22.3045733,114.179327,"[['?', '紅磡'], ('EstateName1', '香港理工大學'), ('BuildingName', '邵逸夫樓'), ['?', 'VA210室']]",22.3045,114.1791,building,0.00023854117044638104,Y
153,紅磡都會道6號國際都會5樓3號行人天橋大堂入口,22.30286973,114.1832122,"[['?', '紅磡'], ('StreetName1', '都會道'), ('BuildingNoFrom', '6'), ['?', '號'], ('EstateName1', '國際都會')]",22.3023,114.1823,streetNo,0.001075500401165002,N
154,九龍城衙前圍道45至45A號E及F舖,22.32888889,114.18831909999999,"[('Region', '九龍'), ['?', '城'], ('StreetName1', '衙前圍道'), ['?', '45至'], ('BuildingNoFrom', '45A'), ['?', '號E及']]",22.3287,114.1883,streetNo,0.00018985321198161485,Y
155,九龍塘達之路80號又一城MTR07號,22.33702663,114.1742778,"[('Region', '九龍'), ['?', '塘'], ('StreetName1', '達之路'), ('BuildingNoFrom', '80'), ['?', '號'], ('BuildingName', '又一城'), ['?', 'MTR07號']]",22.3373,114.1745,streetNo,0.00035228397195655886,Y
156,九龍塘浸會大學道9號香港浸會大學賽馬會師生活動中心地下G02室,22.33606898,114.18286090000002,"[('Region', '九龍'), ['?', '塘'], ('StreetName1', '浸會大學道'), ('BuildingNoFrom', '9'), ['?', '號'], ('EstateName1', '香港浸會大學'), ('BuildingName', '賽馬會師生活動中心')]",22.336,114.1827,streetNo,0.00017506298983091612,Y
157,觀塘康寧道7號地下,22.31365167,114.22328710000001,"[['?', '觀塘'], ('StreetName1', '康寧道'), ('BuildingNoFrom', '7'), ['?', '號']]",22.3139,114.2232,streetNo,0.0002631619252496301,Y
158,觀塘開源道54號豐利中心地下1號,22.30967895,114.22383159999998,"[['?', '觀塘'], ('StreetName1', '開源道'), ('BuildingNoFrom', '54'), ['?', '號'], ('BuildingName', '豐利中心')]",22.3095,114.224,streetNo,0.00024572680461564905,Y
159,觀塘麗港城商場地下38號,22.30690468,114.2281365,"[['?', '觀塘'], ('BuildingName', '麗港城商場')]",22.3068,114.2279,building,0.0002586313059160259,Y
160,觀塘觀塘道418號創紀之城五期地下1號,22.312527600000003,114.22519150000001,"[['?', '觀塘'], ('StreetName1', '觀塘道'), ['?', '4'], ('BlockNo', '1'), ['?', '8號'], ('EstateName1', '創紀之城'), ['?', '五期']]",22.3138,114.2211,street,0.004284784009726095,N
161,觀塘觀塘道418號創紀之城五期大堂高層UC-36舖對出,22.31246805,114.22518070000001,"[['?', '觀塘'], ('StreetName1', '觀塘道'), ['?', '418號'], ('EstateName1', '創紀之城'), ['?', '五期大堂高層']]",22.3135,114.2217,street,0.003630453593228103,N
162,觀塘觀塘道418號創紀之城五期大堂高層UC-36舖對出,22.31252016,114.22508149999999,"[['?', '觀塘'], ('StreetName1', '觀塘道'), ['?', '418號'], ('EstateName1', '創紀之城'), ['?', '五期大堂高層']]",22.3135,114.2217,street,0.003520600612897138,N
163,觀塘秀茂坪寶達邨商場地下9號舖對出自動扶手電梯下,22.31728682,114.236328,"[['?', '觀塘秀茂坪'], ('EstateName1', '寶達邨'), ['?', '商場']]",22.3176,114.2366,building,0.00041480804283059564,Y
164,觀塘曉麗苑曉麗商場出入口對出近209A號舖,22.32067127,114.2294669,"[['?', '觀塘'], ('EstateName1', '曉麗苑'), ('BuildingName', '曉麗商場'), ['?', '出入口對出近']]",22.3207,114.2294,building,7.280812386676951e-05,Y
165,荔枝角深盛路9號宇晴匯2樓櫃員機位置A,22.33376911,114.14980800000001,"[['?', '荔枝角'], ('StreetName1', '深盛路'), ('BuildingNoFrom', '9'), ['?', '號宇晴匯']]",22.3355,114.1493,streetNo,0.00180389694609043,N
166,橫頭磡樂富廣場L樓 L217-L223號,22.337372,114.18743400000001,"[['?', '橫頭磡'], ('BuildingName', '樂富廣場')]",22.3384,114.1873,building,0.0010366966769541604,N
167,美孚新邨萬事達廣場地下N57號,22.33787511,114.1389209,"[('EstateName1', '美孚新邨'), ('StreetName1', '萬事達廣場')]",22.3375,114.1393,street,0.0005333144683044358,Y
168,九龍旺角彌敦道664號惠豐中心7樓 703-706室,22.319197199999998,114.16980590000001,"[('Region', '九龍'), ['?', '旺角'], ('StreetName1', '彌敦道'), ('BuildingNoFrom', '664'), ['?', '號'], ('BuildingName', '惠豐中心')]",22.3191,114.1697,streetNo,0.00014374508687802677,Y
169,旺角彌敦道720-722號家樂樓地下,22.321073000000002,114.16923999999999,"[['?', '旺角'], ('StreetName1', '彌敦道'), ('BuildingNoFrom', '720'), ['?', '-722號'], ('BuildingName', '家樂樓')]",22.321,114.1692,streetNo,8.3240615079451e-05,Y
170,旺角太子道西154-158號旺角城大廈地下近正門入口,22.32454195,114.17082040000001,"[['?', '旺角'], ('StreetName1', '太子道西'), ('BuildingNoFrom', '154'), ['?', '-'], ('BuildingNoTo', '158'), ['?', '號'], ('BuildingName', '旺角城大廈')]",22.3247,114.1708,streetNo,0.00015936110723861041,Y
171,牛頭角振華道70號樂華﹝北﹞商場二樓二號自動櫃員機,22.32180271,114.2200738,"[['?', '牛頭角'], ('StreetName1', '振華道'), ('BuildingNoFrom', '70'), ['?', '號樂華﹝北﹞商場二樓二號自動櫃員機']]",22.3219,114.22,streetNo,0.00012211381616845067,Y
172,新蒲崗崇齡街65號地下,22.3343447,114.19603049999999,"[['?', '新蒲崗'], ('StreetName1', '崇齡街'), ('BuildingNoFrom', '65'), ['?', '號']]",22.3346,114.1958,streetNo,0.0003439597941523807,Y
173,深水埗青山道305號地下1號,22.33792473,114.1568649,"[['?', '深水埗'], ('StreetName1', '青山道'), ('BuildingNoFrom', '305'), ['?', '號']]",22.3377,114.1568,streetNo,0.00023391362273168895,Y
174,深水埗窩仔街13號地下,22.33143446,114.1701955,"[['?', '深水埗'], ('StreetName1', '窩仔街'), ('BuildingNoFrom', '13'), ['?', '號']]",22.3313,114.17,streetNo,0.00023727566584448855,Y
175,大角咀海庭道18號奧海城2期UG46至47號,22.315615,114.161943,"[['?', '大角咀'], ('StreetName1', '海庭道'), ('BuildingNoFrom', '18'), ['?', '號奧海城2期UG46至47號']]",22.3164,114.1624,streetNo,0.0009083358409813203,Y
176,尖沙咀加連威老道98號東海商業中心地下G3-G5號,22.300266,114.17769399999999,"[['?', '尖沙咀'], ('StreetName1', '加連威老道'), ('BuildingNoFrom', '98'), ['?', '號'], ('BuildingName', '東海商業中心')]",22.3002,114.1776,streetNo,0.00011485643211494117,Y
177,尖沙咀彌敦道63號國際廣場地下高層UG01號舖對出,22.29656147,114.1720784,"[['?', '尖沙咀'], ('StreetName1', '彌敦道'), ('BuildingNoFrom', '63'), ['?', '號'], ('BuildingName', '國際廣場')]",22.2972,114.1718,streetNo,0.0006965824580760427,Y
178,鑽石山龍蟠街3號荷里活廣場1樓102A號舖,22.340722,114.2022955,"[['?', '鑽石山'], ('StreetName1', '龍蟠街'), ('BuildingNoFrom', '3'), ['?', '號'], ('BuildingName', '荷里活廣場')]",22.3407,114.2019,streetNo,0.0003961114111058991,Y
179,黃大仙毓華街23號慈雲山中心5樓540號舖,22.34747599,114.2005152,"[['?', '黃大仙'], ('StreetName1', '毓華街'), ('BuildingNoFrom', '23'), ['?', '號'], ('BuildingName', '慈雲山中心')]",22.3486,114.2003,streetNo,0.0011444254104586435,N
180,黃大仙毓華街23號慈雲山中心5樓540號舖,22.34744622,114.20044540000002,"[['?', '黃大仙'], ('StreetName1', '毓華街'), ('BuildingNoFrom', '23'), ['?', '號'], ('BuildingName', '慈雲山中心')]",22.3486,114.2003,streetNo,0.0011629056059770575,N
181,油麻地彌敦道524號地下,22.31279311,114.1708338,"[['?', '油麻地'], ('StreetName1', '彌敦道'), ('BuildingNoFrom', '524'), ['?', '號']]",22.3125,114.171,streetNo,0.00033695090458979747,Y
182,粉嶺名都商場2樓27B及27C室,22.492186,114.13953400000001,"[('EstateName1', '粉嶺名都'), ('BlockDescriptor', '商場')]",22.4918,114.1401,building,0.0006850926944510264,Y
183,葵涌興芳路202號地下,22.35900113,114.12747859999999,"[('StreetName1', '葵涌'), ('StreetName2', '興芳路'), ('BuildingNoFrom', '202'), ['?', '號']]",22.3591,114.1274,streetNo,0.00012630612376135898,Y
